Address State,Latitude,Longitude
"500 Broadway Nashville, TN 37203 ",36.16061725,-86.7787777464555
"2126 Abbott Martin Road Nashville, TN 37215 ",36.10623765306122,-86.81616587755101
"3121 Palm Way Austin, TX 78758 ",30.40222915,-97.7213908936669
"2901 S. Capital of Texas Hwy Austin, TX 78746 ",30.2570178,-97.8076194
"3101 Knox Street Dallas, TX 75205 ",32.822646,-96.787727
"8687 North Central Expressway Dallas, TX 75225 ",32.86843675,-96.77365269302913
"13350 Dallas Parkway Dallas, TX 75240 ",32.9315359,-96.82011198358362
"8401 Gateway Boulevard West El Paso, TX 79925 ",31.7784751,-106.38271330797117
"1620 S. University Drive Fort Worth, TX 76107 ",32.728427,-97.3614
"5085 Westheimer Road Houston, TX 77056 ",29.73797415,-95.46430859192307
"6191 S State Street Murray, UT 84107 ",40.63674905188639,-111.8891085611879
"50 South Main Street Salt Lake City, UT 84101 ",40.7679725,-111.8914862
"2700 Clarendon Boulevard Arlington, VA 22201 ",38.8879951,-77.09134
"1100 South Hayes Street Arlington, VA 22202 ",38.864224180270654,-77.05907295479282
"11750 Fair Oaks Fairfax, VA 22033 ",38.8626777,-77.3588119
"1961 Chain Bridge Road McLean, VA 22102 ",38.9271841,-77.199883
"11937 Market Street Reston, VA 20190 ",38.9585572,-77.358025
"11800 W. Broad Street Richmond, VA 23233 ",37.5830383,-77.495084
"701 Lynnhaven Parkway Virginia Beach, VA 23452 ",36.8171967,-76.0709387
"15100 Potomac Town Place Woodbridge, VA 22191 ",38.6295013,-77.2880348
"2651 NE 49th St Seattle, WA 98105 ",47.6644142,-122.3010612
"710 West Main Avenue Spokane, WA 99201 ",47.6590387,-117.4264324
"4502 S Steele Street Tacoma, WA 98409 ",47.216614449999994,-122.46665874334943
"5715 N Centerpark Way Glendale, WI 53217 ",43.1210586,-87.9150202
"702 North Midvale Boulevard Madison, WI 53705 ",43.0741141216292,-89.45123669988108
"2500 N. Mayfair Road Wauwatosa, WI 53226 ",43.0468458,-88.0470872
