,name,type,formed,location_x,stage,company,acquired,searchfund_index,searchWebsite,companyWebsite,industry,location_y,searchers,investors,associates,search time
29,Mike and Linda Katz ,Self Funded,2000-02-02,"Boston, MA, United States",Acquired,Molded Dimensions,2001-01-01,414,,http://www.moldeddimensions.com/,Business Services,"Port Washington, WI, United States","['Linda\xa0Katz ', 'Mike\xa0Katz ']",[],[],334.0
30,Jim Southern Search Fund 3  ,Traditional,2000-01-01,"Florida, United States",Acquired,Continental Fire & Safety Services,2001-01-01,689,,http://continentalfireandsafety.com/,Business Services,"Rockville, MD, United States","['Jim\xa0Southern', 'Scott\xa0Sheaffer']",['Will\xa0Thorndike'],[],366.0
31,Aragon Capital  London Business School,Traditional,1998-01-08,"London, United Kingdom",Acquired,AP Benson/FamilyGenetix,2001-03-01,429,,http://www.apbenson.com,Business Services,"London, United Kingdom",['Tom\xa0Girn '],[],[],1148.0
32,Pratap Mukherjee & Brian Haas Serach Fund  ,Traditional,2000-01-01,"Palo Alto, CA, USA",Acquired,Beacon Fire & Safety,2001-10-01,1022,,https://www.cintas.com/fire-protection-services/,Business Services,"San Francisco, CA, USA","['Pratap\xa0Mukherjee', 'Brian\xa0Haas ']",['Will\xa0Thorndike'],[],639.0
33,Michael Sanabria Search Fund  ,Self Funded,2002-11-01,"Santa Rosa, CA, United States",Acquired,Impress Northwestern,2002-11-11,682,,http://www.thegoodeco.com,Business Services,"Santa Rosa, CA, United States",['Michael\xa0Sanabria'],[],[],10.0
34,SC Ventures  ,Traditional,2001-11-01,"New York, NY, United States",Acquired,Affinitel,2003-01-01,568,http://www.scven.com,http://www.affinitel.com/,Utilities,"San Francisco, CA 94105, United States",['Pankaj\xa0Amin'],['Elaine\xa0Boxer '],[],426.0
35,Montebello Capital  ,Traditional,2001-01-01,"Cupertino, CA, United States",Acquired,Aero Logistics,2003-01-01,411,,http://www.aero-logistics.net,Transportation,"Monroeville, PA, United States","['John\xa0Fowler ', 'Josh\xa0Greenberg ']",[],[],730.0
36,Teton Industries  ,Traditional,2002-01-01,"Arlington, WA",Acquired,CheckSum,2003-01-01,270,http://www.tetonindustries.com/,http://www.checksum.com/,Business Services,"Arlington, WA, United States",['John\xa0VanNewkirk '],"['Craig\xa0Burr ', 'Bill\xa0Egan ', 'Hiroshi\xa0Mikitani ', ""Michael F\xa0O'Connell"", 'Howard\xa0Stevenson ', 'Steven\xa0Wheelwright']",[],365.0
37,Genesis Ventures  ,Self Funded,1996-06-01,"Pasadena, CA, United States",Acquired,Crossman Manufacturing,2003-01-01,498,,http://www.crossmanmfg.com/,Manufacturing,"Ontario, CA, USA",['Yosufi\xa0Tyebkhan '],[],[],2405.0
38,"Crystal Springs Capital, LLC  ",Traditional,2001-07-01,"San Bruno, CA, USA",Acquired,"ServiceSource International, LLC",2003-01-01,478,,http://www.servicesource.com/,Business Services,"San Francisco, CA, United States","['David\xa0Kennedy  ', 'Mike\xa0Smerklo']","['Tom\xa0Cassutt', 'David\xa0Lazier']",[],549.0
39,Mirablau Equity & Services GmbH  ,Self Funded,2002-01-01,"Munich, Germany",Acquired,Grundig Business Systems,2003-02-02,362,http://www.mira-blau.com/,http://www.grundig-gbs.com/,Business Services,"Hertfordshire, United Kingdom",['Jürgen\xa0Rilling '],[],[],397.0
40,Julie Ha,Traditional,2002-06-01,"Palo Alto, CA, United States",Acquired,Clarita Career College,2003-02-28,413,,,Consumer Services,"Santa Clarita, CA, United States",['Julie\xa0Ha '],[],[],272.0
41,Leader Creek Partners  ,Traditional,2002-08-01,"Eugene, OR, United States",Acquired,Jody Coyote (renamed Oak Patch Gifts),2003-08-01,509,,http://www.oakpatchgifts.com/Scripts/PublicSite/,Manufacturing,"Eugene, OR, United States","['Chris\xa0Cunning', 'Peter\xa0Day']","['Andy\xa0Dale', 'Daniel\xa0Campbell', 'J.T.\xa0Fitzgerald']",[],365.0
42,Dionis Company  ,Traditional,2002-01-01,"San Mateo, CA, United States",Acquired,Liberty Fitness,2004-01-01,674,,,Consumer Services,"San Mateo, CA, United States",['Jeff\xa0Stevens'],[],[],730.0
43,Eventide Management  Colgate University,Traditional,2003-01-01,"New York, NY, United States",Acquired,Southern California Risk Management and Medical Audit and Management,2004-06-18,35,,,Insurance,"Orange County, CA, United States","['Rick\xa0Taketa', 'Ken\xa0Alston']",[],[],534.0
