,name,type,formed,Search Location,stage,company,acquired,Searchfund Index,searchWebsite,companyWebsite,industry,Acquistion Location,searchers,investors,associates,Search Length,search long,search lat,acquisition lat,acquisition long,Miles Between Search and Acquisiton
602,"Spruce Grove Capital, LLC  ",Traditional,2019-05-10,"Toronto, ON, Canada",Acquired,CarData,2021-01-30,1129,https://sprucegrovecapital.com/,http://www.cardataconsultants.com,Software,"Oakville, ON, Canada","'Michael Levine', 'Sheret Ross'","'Richard Augustyn', 'Larry Dunn', 'Steve Lau ', 'Rameez Ansari ', 'Alex Gelman', 'Josh LeBrun', 'Jan Simon', 'Andy Love', 'Brad Buser', 'B.A. Cullum', 'Brad Brown', 'Paul Davies', 'Natalie Cryer', 'Rene Lajous', 'Glen Silvestri', 'Kent Weaver', 'Mario Nigro', 'Mark Egan ', 'Matthew Burr', 'Sara Rosenthal', 'Gerald Risk', 'Neal Jacobs'",,631,-79.3839347,43.6534817,43.447436,-79.666672,20.078312640921443
603,BOGO Inversión  ,Traditional,2019-09-01,"Madrid, España",Acquired,Grupo NortConsulting,2021-01-31,976,,https://www.nortconsulting.com/,,"Madrid, Spain",'Borja Goenechea',"'Peter Schober', 'Jos Moreno', 'Kent Weaver', 'Mark Egan ', 'Bill Egan ', 'Jose M Cabiedes ', 'Luis Cabiedes'","'Patricia Triay', 'Rosario Beccar Varela', 'Alvaro Iglesias', 'Javier Fuentes Saez'",518,-3.7035825,40.4167047,40.4167047,-3.7035825,0.0
604,Legacy Ventures  ,Traditional,2018-12-29,"New York, NY, USA",Search,,2021-02-01,1149,https://www.legacyven.com,,,,"'Daniel Klein', 'Michael Kaufman ', 'Naftali Hazony'",,,765,-74.0060152,40.7127281,NaN,NaN,NaN
605,KKH Capital Partners  ,Traditional,2019-05-01,"New York City, New York, USA",Acquired,Stealth Mode Startup,2021-02-01,2086,https://www.kkhcap.com/,https://www.mindsight.ai/,Technology,"New York City, New York, USA",'Naftali Hazony',,,642,-74.0060152,40.7127281,40.7127281,-74.0060152,0.0
606,Brockhurst Capital Partners  ,Traditional,2019-06-12,"Chicago, IL, USA",Acquired,"LexShares, Inc.",2021-02-01,1173,https://www.brockhurstcapitalpartners.com/,https://www.lexshares.com/,Finance,"Boston, Massachusetts, United States",'Cayse Llorens','Mark Sinatra','Laura Ma ',600,-87.6666557,41.9380405,42.3602534,-71.0582912,849.9255444916888
607,Blue Cord Capital  ,Traditional,2020-07-01,"Florida, USA",Acquired,Express Trailers,2021-02-01,1823,www.bluecordcapital.com,www.expresstrailersfl.com,Transportation,,'John Hubbard','Sam Rosati',,215,-81.4639835,27.7567667,NaN,NaN,NaN
608,Crosswalk Capital  ,Traditional,2019-12-18,"Minneapolis, MN, USA",Acquired,"Earth Development, Inc",2021-02-01,1324,www.crosswalkcapital.com,https://earthdevelopmentinc.com/,Business Services,"Green Bay, Wisconsin, United States",'Eddy Zakes',"'Guillermo Zambrano', 'Angel Alvarez Cadavieco', 'Javier Paez', 'Andy Love', 'Brad Buser', 'B.A. Cullum', 'Bill Egan ', 'Mark Egan ', 'Paul Davies', 'Rene Lajous', 'Natalie Cryer', 'Craig Burr ', 'Matthew Burr', 'Richard Augustyn', 'Lawrence Dunn ', 'Tiffany Augustyn', 'Hunter trust ', 'John Shoaf', 'Tushar Shah', 'Daniel Turkel ', 'Alon Amar', 'Jojo Rabinowitz ', 'Aryeh Mernick ', 'Mark Anderegg', 'Peter Schober', 'Jamie Turner ', 'Sandro Mina', 'Stephanie Warner ', 'Felipe Corcuera', 'Warren Chan', 'Clement Lucas', 'Cecilia Lulli', 'Rob Johnson ', 'Jason Pananos', 'Jay Davis', 'Will Thorndike'",,411,-93.2654692,44.9772995,44.5126379,-88.0125794,259.7216040902371
609,Mahway Investments  ,Traditional,2020-01-01,"Los Angeles, CA, USA",Acquired,Sophros Recovery,2021-02-01,1479,http://www.mahway.com/,https://sophrosrecovery.com/,Healthcare,"Jacksonville, Florida, United States","'David Mah', 'Nick Padlo'",'Zack Huffstutter',,397,-118.242766,34.0536909,30.3321838,-81.655651,2143.3196443608235
610,Reserv Equity Partners  ,Self Funded,2019-06-01,"Atlanta, GA, USA",Acquired,,2021-02-09,1465,http://reservequitypartners.com/,,Transportation,,"'Brian Boland', 'Wendy Ho ', 'Onu Okebie ', 'Onu Okebie'",,,619,-84.3902644,33.7489924,NaN,NaN,NaN
611,Parkhill Capital  ,Traditional,2020-04-01,"1031 S Broadway, Los Angeles CA",Acquired,DSD Partners,2021-02-12,1347,www.parkhillcap.com,www.dsdpartners.com,Technology,"Richmond, Virginia, USA",'Mark Devooght',,,317,-118.2688985,34.0266604,37.5385087,-77.43428,2283.747141195554
