,Acquisitions,Explore,Inactive,Raise,Search,Investments,Acquisition Rate,Failure Rate,Still Searching
'Graham Weaver',12.0,0.0,4.0,0.0,14.0,30.0,0.4,0.13333333333333333,0.4666666666666667
 'Edward Benford ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
" 'William P.  ""Bill"" Sutter",1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 Jr. ',4.0,0.0,0.0,0.0,0.0,4.0,1.0,0.0,0.0
 'Richardo Forrer ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'A.J. Wasserstein',33.0,0.0,8.0,0.0,3.0,44.0,0.75,0.18181818181818182,0.06818181818181818
 'Richard Augustyn',74.0,0.0,29.0,1.0,34.0,138.0,0.5362318840579711,0.21014492753623187,0.2536231884057971
 'Larry Dunn',87.0,1.0,30.0,2.0,28.0,148.0,0.5878378378378378,0.20270270270270271,0.20945945945945946
 'Mike Smerklo',9.0,0.0,1.0,0.0,7.0,17.0,0.5294117647058824,0.058823529411764705,0.4117647058823529
 'Mark Hilderbrand ',18.0,0.0,2.0,0.0,14.0,34.0,0.5294117647058824,0.058823529411764705,0.4117647058823529
 'Barry Reynolds ',8.0,0.0,1.0,0.0,5.0,14.0,0.5714285714285714,0.07142857142857142,0.35714285714285715
'Paul Davies',61.0,0.0,20.0,0.0,20.0,101.0,0.6039603960396039,0.19801980198019803,0.19801980198019803
 'Christopher Bayley ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Fraser Black ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Chris Cunning',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Dan Mattsen ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Peter Day',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'William Douglas ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Stuart Platt ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Bruce Richards ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Aaron Richmond ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Tom Varga ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Dale Vogel ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Todd Marker ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Andrew Whitman',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'W. Clay Hammer ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Brad Brown',43.0,0.0,4.0,0.0,29.0,76.0,0.5657894736842105,0.05263157894736842,0.3815789473684211
'Joel Peterson',36.0,0.0,5.0,0.0,18.0,59.0,0.6101694915254238,0.0847457627118644,0.3050847457627119
 'Jason Shafer',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Edward Benford ',2.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,0.0
 'Bryan Daniels ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Steve Groya ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'James Hallene ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Michael Lauesen ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Allan Martin ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Darren Snyder ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Jennifer Steans ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Christopher Killackey ',1.0,0.0,1.0,0.0,1.0,3.0,0.3333333333333333,0.3333333333333333,0.3333333333333333
 'Aaron  Mobarak',2.0,0.0,1.0,0.0,0.0,3.0,0.6666666666666666,0.3333333333333333,0.0
'Charles Dickinson ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'David Vogel ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Tim Ludwig',36.0,0.0,8.0,0.0,4.0,48.0,0.75,0.16666666666666666,0.08333333333333333
 'Steve Nutt ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
'Sandro Mina',105.0,4.0,16.0,3.0,45.0,173.0,0.6069364161849711,0.09248554913294797,0.30057803468208094
 'Martin Steber',97.0,3.0,16.0,3.0,38.0,157.0,0.6178343949044586,0.10191082802547771,0.2802547770700637
 'Jeff Stevens',51.0,0.0,10.0,1.0,19.0,81.0,0.6296296296296297,0.12345679012345678,0.24691358024691357
 'Greg Matthews',82.0,0.0,30.0,0.0,15.0,127.0,0.6456692913385826,0.23622047244094488,0.11811023622047244
 'Grant Schafle',77.0,0.0,30.0,0.0,8.0,115.0,0.6695652173913044,0.2608695652173913,0.06956521739130435
'Phil Rosenbloom',2.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0
 'Graham Weaver',10.0,0.0,3.0,0.0,14.0,27.0,0.37037037037037035,0.1111111111111111,0.5185185185185185
 'Richard Kovacevich ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Phelps Wood ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Peter Francis ',13.0,0.0,2.0,0.0,0.0,15.0,0.8666666666666667,0.13333333333333333,0.0
 'Michael Miles',23.0,0.0,4.0,0.0,17.0,44.0,0.5227272727272727,0.09090909090909091,0.38636363636363635
 'Sandro Mina',82.0,3.0,14.0,1.0,31.0,131.0,0.6259541984732825,0.10687022900763359,0.26717557251908397
 'Karen Moriarty',5.0,0.0,0.0,0.0,0.0,5.0,1.0,0.0,0.0
 'Larry Archibald',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Peter Kelly',31.0,1.0,4.0,0.0,2.0,38.0,0.8157894736842105,0.10526315789473684,0.07894736842105263
 'Jamie Turner ',21.0,0.0,1.0,0.0,17.0,39.0,0.5384615384615384,0.02564102564102564,0.4358974358974359
 'Andrew Saltoun ',15.0,2.0,2.0,0.0,30.0,49.0,0.30612244897959184,0.04081632653061224,0.6530612244897959
 'Sarath Boyapati ',3.0,0.0,0.0,0.0,2.0,5.0,0.6,0.0,0.4
 'J.P. Whelan ',1.0,0.0,1.0,0.0,0.0,2.0,0.5,0.5,0.0
 'Glenn Healey',16.0,0.0,6.0,0.0,0.0,22.0,0.7272727272727273,0.2727272727272727,0.0
 'Zachary Urban',3.0,0.0,1.0,0.0,0.0,4.0,0.75,0.25,0.0
 'Julie Couillard ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Michael Kay ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Paul D. McCoy ',1.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0
 'Will Stevenson',6.0,0.0,2.0,0.0,1.0,9.0,0.6666666666666666,0.2222222222222222,0.1111111111111111
