,name,type,formed,Search Location,stage,company,acquired,Searchfund Index,searchWebsite,companyWebsite,industry,Acquistion Location,searchers,investors,associates,Search Length,search long,search lat,acquisition lat,acquisition long,Miles Between Search and Acquisiton
2017,Venice Hudson  ,Self Funded,2020-11-01,"New York, NY, USA",Search,,,1755,www.venicehduson.com,,,,'Aldo Merlo',,,,-74.0060152,40.7127281,NaN,NaN,NaN
2018,Roliston LLC  ,Traditional,2020-06-01,"Boston, Massachusetts, United States",Search,,,2011,https://www.roliston.com/,,,,'Lee Howell',"'Timothy Bovard', 'Jeremy Silverman', 'Chris Fuller', 'Jay Madsen '",,,-71.0582912,42.3602534,NaN,NaN,NaN
2019,Bushwick LLC  ,Traditional,2021-08-01,"New Orleans, Louisiana, United States",Search,,,2267,https://www.bushwick-llc.com/,,,,'Joe Chao',"'Jay Madsen ', 'Timothy Bovard'",,,-90.0701156,29.9499323,NaN,NaN,NaN
2020,Persevia  ,Traditional,,"Houston, TX, USA",Raise,,,988,www.persevia.com,,,,"'Samuel Garcia Cuellar', 'Alfonso Perez Davalos'",,,,-95.3676974,29.7589382,NaN,NaN,NaN
2021,Collingwood Capital  ,Self Funded,2020-06-01,"Calgary, AB, Canada",Search,,,1500,https://www.collingwood-capital.com/,,,,'Shannon Chmelyk',,,,-114.065465,51.0460954,NaN,NaN,NaN
2022,Maple House Capital  ,Traditional,2021-02-05,"Horsham, UK",Raise,,,1756,maplehousecapital.com,,,,'Innocent Udia',,,,-0.3295028,51.0630273,NaN,NaN,NaN
2023,Casparis  ,Traditional,2020-08-01,"Boston, Massachusetts, United States",Search,,,2012,https://www.casparis-llc.com/,,,,'Refael Klein',"'Timothy Bovard', 'Jeremy Silverman', 'Chris Fuller', 'Jay Madsen '",,,-71.0582912,42.3602534,NaN,NaN,NaN
2024,Mel Tech Group  ,Self Funded,,"St. Louis, MO, USA",Explore,,,2268,,,,,'Mindy Heitman',,,,-90.24111656024635,38.6529545,NaN,NaN,NaN
2025,Alhambra Growth Partners  ,Single Sponsor,2016-01-01,"Chicago, IL, United States",Search,,,221,http://alhambragrowthpartners.com/,,,,"'Reid Tileston', 'Trevor Tileston '",,,,-87.6244212,41.8755616,NaN,NaN,NaN
2026,Copper Orchid Capital  ,Traditional,2018-09-01,"Chicago, IL, USA",Search,,,989,https://copperorchidcapital.com/,,,,'Lauren Richardson',"'Walter Scott ', 'Jim Sharpe', 'Catherine Slater'",,,-87.6244212,41.8755616,NaN,NaN,NaN
2027,Drup Ventures  ,Traditional,2019-09-03,"Burleson, TX, USA",Raise,,,1245,https://drupsventures.com/,,,,"'Joseph Drups ', 'Keith Brown '",,,,-96.6353488,30.4764878,NaN,NaN,NaN
2028,Cox/Grimes  ,Self Funded,2020-04-01,"Raleigh, NC, USA",Search,,,1501,,,,,"'Austin Grimes', 'Matthew Cox'",,,,-78.6390989,35.7803977,NaN,NaN,NaN
2029,Octillion Capital Partners  ,Self Funded,2020-12-01,"London, UK",Search,,,1757,https://octillioncapitalpartners.com/index.html,,,,'Ayo Disu',"'Tony Keaveny ', 'Tripti Singh ', 'Dr Marios Samadanis ', 'Ehizuelen Hizzy Arabome '",,,-0.1276474,51.5073219,NaN,NaN,NaN
2030,Edge Capital  ,Self Funded,2021-05-10,"Miami, FL, USA",Search,,,2269,www.edgecapitalholdings.com,,,,'Ethan Wingfield',,,,-80.19362,25.7741728,NaN,NaN,NaN
2031,Nemean Capital  ,Traditional,2018-01-02,"New York, NY, United States",Raise,,,734,https://www.nemeanpride.com/contact/,,,,'Nicco Leone',,,,-74.0060152,40.7127281,NaN,NaN,NaN
2032,Palmbrook Capital  ,Traditional,2019-02-01,"Durham, NC, USA",Search,,,990,www.pbrookcapital.com,,,,'CJ Casselli',"'Brent Burgess ', 'Thomas Cassutt '",,,-78.9018053,35.996653,NaN,NaN,NaN
2033,NZ Opportunity Partners  ,Self Funded,2017-10-27,"Auckland, New Zealand",Search,,,1246,,,,,'David Sweas ','Andrew Lu ',,,174.7631803,-36.852095,NaN,NaN,NaN
2034,"Iconic Financial Holdings, LLC  ",Traditional,2020-06-23,"Houston, TX, USA",Raise,,,1502,www.iconicfinancialholdings.com,,,,'Paul Stephens',,,,-95.3676974,29.7589382,NaN,NaN,NaN
2035,"Seph Acquisitions, LLC",Self Funded,2020-08-06,"Rhode Island, USA",Search,,,1758,sephacquisitions.com,,,,,,,,-71.5992372,41.7962409,NaN,NaN,NaN
2036,Tree Water Cap  ,Traditional,2020-08-18,"New York, NY, USA",Explore,,,2014,https://www.google.com/,,,,'Alex Wang',,,,-74.0060152,40.7127281,NaN,NaN,NaN
2037,Natural Bridge Capital  The University of North Carolina at Chapel Hill - Kenan-Flagler Business School,Self Funded,2015-06-06,"North Carolina, United States",Inactive,,,223,,,,,'Michael Davis',,,,-79.0392919,35.6729639,NaN,NaN,NaN
