COUNTY,COUNT LOANS,SUM AVG VALUE LOANS
37061,21," $13,950,000 "
37155,94," $58,400,000 "
37165,12," $7,525,000 "
37129,422," $199,675,000 "
37141,87," $38,075,000 "
37019,251," $138,175,000 "
37133,144," $65,350,000 "
37107,68," $40,550,000 "
37049,131," $69,925,000 "
37103,37," $23,975,000 "
37137,9," $2,250,000 "
37031,124," $51,625,000 "
37027,10," $4,200,000 "
37003,46," $28,200,000 "
37189,16," $6,125,000 "
37011,103," $49,675,000 "
37009,16," $15,775,000 "
37005,8," $5,775,000 "
37021,656," $393,800,000 "
37115,23," $11,525,000 "
37173,0, $-   
37075,12," $8,350,000 "
37089,109," $55,950,000 "
37121,1," $1,500,000 "
37199,2," $925,000 "
37099,17," $11,300,000 "
37175,70," $26,375,000 "
37113,58," $29,150,000 "
37087,50," $26,275,000 "
37043,30," $14,975,000 "
37039,10," $4,200,000 "
45085,109," $67,050,000 "
45027,6," $2,350,000 "
45079,636," $416,775,000 "
45009,8," $6,175,000 "
45081,11," $8,525,000 "
45003,151," $85,800,000 "
45063,430," $267,950,000 "
45025,52," $28,525,000 "
45055,22," $9,275,000 "
45061,82," $36,825,000 "
45023,124," $73,850,000 "
45039,12," $5,525,000 "
45035,172," $86,850,000 "
45075,78," $41,600,000 "
45017,10," $4,175,000 "
45087,14," $6,875,000 "
45071,69," $26,975,000 "
45059,50," $32,475,000 "
45089,83," $55,050,000 "
45057,104," $67,750,000 "
45015,264," $155,025,000 "
45031,28," $16,250,000 "
45029,36," $14,075,000 "
45041,213," $114,400,000 "
45037,33," $14,150,000 "
45047,45," $30,575,000 "
45083,390," $268,775,000 "
45021,141," $87,975,000 "
45045,1004," $647,075,000 "
45019,1209," $708,675,000 "
45043,36," $16,200,000 "
45051,668," $318,325,000 "
45069,23," $11,650,000 "
45067,9," $3,500,000 "
45033,21," $9,475,000 "
45007,325," $167,375,000 "
45077,132," $81,725,000 "
45065,5," $2,525,000 "
45001,48," $36,050,000 "
45073,41," $20,325,000 "
45091,206," $107,225,000 "
45011,7," $4,275,000 "
45005,14," $9,700,000 "
45049,14," $8,450,000 "
45013,411," $213,375,000 "
45053,28," $15,325,000 "
13089,1012," $631,325,000 "
13135,2279," $1,533,675,000 "
13117,139," $76,025,000 "
13057,530," $280,175,000 "
13121,4404," $3,314,750,000 "
13067,1587," $966,075,000 "
13013,55," $34,675,000 "
13247,0, $-   
13297,54," $26,875,000 "
13217,145," $84,575,000 "
13159,87," $40,900,000 "
13211,38," $30,950,000 "
13085,32," $14,225,000 "
13223,105," $58,375,000 "
13015,245," $145,150,000 "
13129,99," $56,375,000 "
13115,117," $79,675,000 "
13233,19," $13,975,000 "
13055,6," $2,775,000 "
13097,76," $28,200,000 "
13227,59," $26,475,000 "
13045,177," $94,025,000 "
13149,11," $5,700,000 "
13143,13," $9,050,000 "
13123,33," $20,225,000 "
13207,108," $62,250,000 "
13171,56," $28,475,000 "
13293,26," $13,125,000 "
13113,249," $128,775,000 "
13255,21," $13,775,000 "
13231,3," $1,175,000 "
13063,203," $141,875,000 "
13035,16," $6,100,000 "
13077,156," $80,550,000 "
13285,92," $54,600,000 "
13199,17," $8,450,000 "
13151,294," $161,325,000 "
13107,28," $22,225,000 "
13209,3," $1,175,000 "
13309,0, $-   
13175,21," $8,625,000 "
13167,1," $250,000 "
13303,32," $27,350,000 "
13163,11," $8,175,000 "
13109,40," $19,675,000 "
13031,108," $54,050,000 "
13267,5," $2,525,000 "
13043,13," $7,025,000 "
13251,4," $1,000,000 "
13165,2," $1,350,000 "
13033,18," $9,550,000 "
13183,2," $925,000 "
13279,5," $1,675,000 "
13283,55," $23,875,000 "
13103,59," $30,525,000 "
13139,401," $284,175,000 "
13137,73," $33,200,000 "
13011,27," $12,200,000 "
13111,26," $10,300,000 "
13187,60," $29,225,000 "
13291,21," $9,875,000 "
13147,50," $28,775,000 "
13119,21," $15,225,000 "
13157,136," $79,750,000 "
13311,33," $14,875,000 "
13241,15," $7,950,000 "
13281,4," $4,675,000 "
13195,13," $9,450,000 "
13257,1," $1,500,000 "
13213,3," $1,175,000 "
13059,72," $42,425,000 "
13219,269," $161,825,000 "
13221,15," $8,275,000 "
13105,0, $-   
13237,32," $13,900,000 "
13317,6," $2,350,000 "
13265,21," $13,975,000 "
13133,29," $11,900,000 "
13181,0, $-   
13141,1," $675,000 "
13047,30," $17,825,000 "
13295,32," $18,850,000 "
13313,155," $98,975,000 "
13083,14," $13,700,000 "
13073,180," $85,975,000 "
13189,19," $10,625,000 "
13125,0, $-   
13245,336," $201,825,000 "
13301,20," $13,300,000 "
13017,22," $12,925,000 "
13315,23," $11,225,000 "
13319,112," $58,925,000 "
13153,137," $67,825,000 "
13263,6," $1,925,000 "
13269,6," $3,175,000 "
13093,12," $10,350,000 "
13225,41," $26,650,000 "
13079,4," $1,000,000 "
13081,5," $1,250,000 "
13271,6," $2,350,000 "
13091,26," $17,700,000 "
13023,2," $925,000 "
13289,32," $24,075,000 "
13235,0, $-   
13021,189," $118,825,000 "
13193,18," $9,150,000 "
13169,16," $6,525,000 "
13009,3," $1,175,000 "
13197,1," $675,000 "
13249,20," $11,625,000 "
13179,24," $13,050,000 "
13051,650," $369,675,000 "
13029,33," $18,750,000 "
13191,14," $9,700,000 "
13299,31," $15,325,000 "
13025,1," $675,000 "
13229,57," $42,800,000 "
13005,14," $8,125,000 "
13161,0, $-   
13069,70," $39,225,000 "
13155,13," $6,625,000 "
13001,39," $20,600,000 "
13305,22," $17,825,000 "
13127,169," $75,000,000 "
13039,21," $6,525,000 "
13049,10," $5,025,000 "
13065,12," $13,375,000 "
13003,8," $5,350,000 "
13185,89," $55,875,000 "
13027,93," $37,600,000 "
13173,12," $5,125,000 "
13075,27," $13,900,000 "
13019,15," $9,975,000 "
13275,110," $62,250,000 "
13101,19," $6,025,000 "
13277,93," $45,375,000 "
13071,57," $24,300,000 "
13177,93," $55,325,000 "
13095,117," $54,150,000 "
13205,30," $12,975,000 "
13321,15," $5,450,000 "
13261,35," $15,925,000 "
13287,7," $2,600,000 "
13007,6," $4,000,000 "
13273,2," $500,000 "
13131,9," $2,675,000 "
13087,33," $24,325,000 "
13307,3," $4,000,000 "
13215,270," $162,275,000 "
13145,44," $25,625,000 "
13053,0, $-   
13259,3," $1,175,000 "
12019,176," $87,725,000 "
12109,547," $295,200,000 "
12107,82," $46,650,000 "
12121,52," $23,850,000 "
12067,5," $2,925,000 "
12029,8," $2,850,000 "
12041,10," $5,850,000 "
12089,103," $41,650,000 "
12023,71," $33,650,000 "
12003,26," $12,725,000 "
12007,18," $6,625,000 "
12001,430," $246,700,000 "
12047,2," $500,000 "
12125,12," $8,350,000 "
12079,11," $6,125,000 "
12031,1799," $1,136,625,000 "
12035,82," $37,600,000 "
12127,733," $380,150,000 "
12069,558," $316,275,000 "
12083,507," $271,425,000 "
12119,91," $70,100,000 "
12073,571," $301,775,000 "
12065,4," $2,250,000 "
12037,24," $8,550,000 "
12077,22," $15,725,000 "
12039,26," $14,825,000 "
12129,2," $500,000 "
12123,23," $12,825,000 "
12005,336," $183,925,000 "
12131,266," $115,925,000 "
12133,3," $1,600,000 "
12063,26," $13,975,000 "
12013,22," $10,125,000 "
12059,11," $4,000,000 "
12045,5," $2,500,000 "
12033,559," $318,200,000 "
12113,171," $90,075,000 "
12091,320," $170,450,000 "
12075,54," $26,550,000 "
12117,881," $512,250,000 "
12095,3115," $1,938,175,000 "
12009,881," $484,800,000 "
12097,301," $144,300,000 "
12061,306," $157,650,000 "
12087,258," $114,125,000 "
12086,6866," $4,070,150,000 "
12011,5010," $2,940,475,000 "
12099,3937," $2,347,700,000 "
12085,377," $182,675,000 "
12051,60," $41,025,000 "
12043,24," $9,800,000 "
12057,3133," $2,019,875,000 "
12101,518," $287,675,000 "
12053,171," $74,875,000 "
12105,810," $467,600,000 "
12081,689," $392,625,000 "
12103,2195," $1,369,175,000 "
12055,124," $53,225,000 "
12049,26," $8,625,000 "
12027,8," $4,525,000 "
12071,1632," $896,075,000 "
12015,234," $100,325,000 "
12021,809," $435,825,000 "
12115,1115," $636,775,000 "
12017,118," $68,875,000 "
12111,412," $220,525,000 "
12093,3," $1,175,000 "
1115,104," $51,650,000 "
1073,1505," $1,020,100,000 "
1125,338," $197,525,000 "
1127,60," $34,175,000 "
1117,645," $406,925,000 "
1051,66," $30,725,000 "
1123,15," $15,200,000 "
1037,47," $25,525,000 "
1009,84," $55,675,000 "
1121,98," $75,275,000 "
1103,203," $139,250,000 "
1043,104," $61,725,000 "
1095,89," $47,425,000 "
1007,30," $16,250,000 "
1105,12," $8,775,000 "
1021,27," $13,100,000 "
1133,52," $26,400,000 "
1027,12," $11,600,000 "
1015,60," $29,750,000 "
1055,33," $19,475,000 "
1065,14," $8,550,000 "
1119,5," $4,200,000 "
1107,11," $8,975,000 "
1063,7," $3,450,000 "
1079,29," $32,075,000 "
1057,10," $6,175,000 "
1093,7," $7,125,000 "
1075,26," $14,375,000 "
1059,39," $25,425,000 "
1033,78," $67,275,000 "
1083,68," $43,500,000 "
1077,150," $81,950,000 "
1089,704," $509,450,000 "
1071,31," $23,425,000 "
1049,98," $59,550,000 "
1019,69," $30,200,000 "
1001,28," $12,500,000 "
1011,0, $-   
1109,55," $38,625,000 "
1041,2," $925,000 "
1031,38," $18,225,000 "
1045,170," $104,125,000 "
1101,534," $325,825,000 "
1087,132," $76,325,000 "
1013,22," $13,400,000 "
1067,20," $9,650,000 "
1005,2," $500,000 "
1113,64," $37,825,000 "
1039,31," $13,250,000 "
1131,8," $5,375,000 "
1085,33," $24,300,000 "
1035,65," $38,375,000 "
1099,2," $1,750,000 "
1029,42," $18,925,000 "
1111,16," $10,200,000 "
1017,90," $52,900,000 "
1061,19," $10,950,000 "
1069,147," $81,275,000 "
1053,24," $15,875,000 "
1025,44," $27,125,000 "
1003,471," $217,050,000 "
1097,740," $496,450,000 "
1129,14," $6,025,000 "
1023,7," $3,025,000 "
1047,14," $4,775,000 "
1091,37," $24,500,000 "
1081,56," $29,800,000 "
47147,175," $91,350,000 "
47125,93," $63,375,000 "
47037,2588," $1,790,975,000 "
47041,36," $16,150,000 "
47159,9," $3,950,000 "
47189,33," $13,725,000 "
47149,468," $255,425,000 "
47187,392," $244,275,000 "
47021,43," $26,100,000 "
47015,31," $13,225,000 "
47031,41," $21,525,000 "
47003,117," $67,550,000 "
47117,2," $1,750,000 "
47111,10," $8,350,000 "
47169,76," $30,300,000 "
47165,253," $142,275,000 "
47161,4," $1,000,000 "
47081,49," $30,225,000 "
47043,15," $7,950,000 "
47087,8," $7,775,000 "
47135,1," $250,000 "
47101,11," $5,275,000 "
47103,58," $33,200,000 "
47055,42," $33,950,000 "
47083,8," $2,850,000 "
47085,27," $14,225,000 "
47119,6," $1,500,000 "
47181,7," $3,875,000 "
47061,6," $2,350,000 "
47175,2," $925,000 "
47177,16," $7,775,000 "
47153,4," $1,000,000 "
47127,26," $13,150,000 "
47027,15," $8,275,000 "
47051,12," $5,950,000 "
47065,888," $560,575,000 "
47107,52," $30,550,000 "
47139,18," $10,300,000 "
47121,3," $1,600,000 "
47011,84," $44,300,000 "
47123,1," $675,000 "
47143,10," $4,175,000 "
47007,51," $25,675,000 "
47035,55," $22,625,000 "
47115,93," $66,550,000 "
47157,1799," $1,203,075,000 "
47019,108," $80,775,000 "
47171,0, $-   
47179,135," $98,775,000 "
47163,157," $93,175,000 "
47059,53," $28,625,000 "
47091,4," $5,500,000 "
47073,97," $49,950,000 "
47009,186," $120,775,000 "
